AN Q12 Con $ENTITY Signatures! Get signatures for the $ENTITY issue!
AN Q12 Con $ENTITY Did you get any signatures for the $ENTITY petition? $ENTITY I'm serious about this!
AN Q12 Con $ENTITY The $ENTITY petition needs signatures! $ENTITY Get on it!
AN Q12 Con $ENTITY Anyone from $ENTITY another town $ENTITY can sign.... Bring me $ENTITY signatures... OK? $ENTITY I'm counting on you! $ENTITY !
AN Q12 Con $ENTITY Only $ENTITY girls from other towns $ENTITY can sign the petition. $ENTITY I need you to get me ... signatures! $ENTITY !
AN Q12 Con $ENTITY I need $ENTITY tough-girl types from other towns $ENTITY to sign the petition, OK? $ENTITY Get ... names, $ENTITY !
AN Q12 Con $ENTITY I want $ENTITY dogs from other towns $ENTITY to sign the petition.... Bring me ... names! $ENTITY Thanks! $ENTITY !
AN Q12 Con $ENTITY I want $ENTITY cats from other towns $ENTITY to sign the petition.... Bring me ... names! $ENTITY Thanks! $ENTITY !
AN Q12 Con $ENTITY I need $ENTITY squirrels from other towns $ENTITY to sign the petition.... Bring me ... names! $ENTITY Thanks! $ENTITY !
AN Q12 Con $ENTITY I want $ENTITY rabbits from other towns $ENTITY to sign the petition.... Bring me ... names! $ENTITY Thanks! $ENTITY !
AN Q12 Con $ENTITY I want $ENTITY ducks from other towns $ENTITY to sign the petition.... Bring me ... names! $ENTITY Thanks! $ENTITY !
AN Q12 Con $ENTITY I want $ENTITY mice from other towns $ENTITY to sign the petition.... Bring me ... names! $ENTITY Thanks! $ENTITY !
AN Q12 Con $ENTITY I want $ENTITY frogs from other towns $ENTITY to sign the petition.... Bring me ... names! $ENTITY Thanks! $ENTITY !
AN Q12 Con $ENTITY I want $ENTITY horses from other towns $ENTITY to sign the petition.... Bring me ... names! $ENTITY Thanks! $ENTITY !
AN Q12 Con $ENTITY I want $ENTITY bears from other towns $ENTITY to sign the petition.... Bring me ... names! $ENTITY Thanks! $ENTITY !
AN Q12 Con $ENTITY I need $ENTITY penguins from other towns $ENTITY to sign the petition.... Bring me ... names! $ENTITY Thanks! $ENTITY !
