FU Q12 Con $ENTITY Please get the signatures for my $ENTITY petition soon. I need them by the end of the day!
FU Q12 Con $ENTITY Thanks again for agreeing to get signatures for my petition,... ! I do need them by the end of the day...
FU Q12 Con $ENTITY It was really nice of you to agree to collect signatures for my petition,... . I do need them by the end of the day...
FU Q12 Con $ENTITY You can get signatures from anyone in $ENTITY another town... I just need $ENTITY more! $ENTITY Go get 'em, tiger!
FU Q12 Con $ENTITY You can get signatures from $ENTITY any girl in another town $ENTITY . $ENTITY I just need ... more! $ENTITY Go get 'em, tiger!
FU Q12 Con $ENTITY You can get signatures from $ENTITY serious, studious girls $ENTITY in other towns... I just need ... more! $ENTITY Go get 'em, tiger!
FU Q12 Con $ENTITY I need you to collect a total of ... signatures from $ENTITY dogs $ENTITY in other towns. Go get 'em, tiger!
FU Q12 Con $ENTITY I need you to collect a total of ... signatures from $ENTITY cats $ENTITY in other towns. Go get 'em, tiger!
FU Q12 Con $ENTITY I need you to collect a total of ... signatures from $ENTITY squirrels $ENTITY in other towns. Go get 'em, tiger!
FU Q12 Con $ENTITY I need you to collect a total of ... signatures from $ENTITY rabbits $ENTITY in other towns. Go get 'em, tiger!
FU Q12 Con $ENTITY I need you to collect a total of ... signatures from $ENTITY ducks $ENTITY in other towns. Go get 'em, tiger!
FU Q12 Con $ENTITY I need you to collect a total of ... signatures from $ENTITY mice $ENTITY in other towns. Go get 'em, tiger!
FU Q12 Con $ENTITY I need you to collect a total of ... signatures from $ENTITY frogs $ENTITY in other towns. Go get 'em, tiger!
FU Q12 Con $ENTITY I need you to collect a total of ... signatures from $ENTITY horses $ENTITY in other towns. Go get 'em, tiger!
FU Q12 Con $ENTITY I need you to collect a total of ... signatures from $ENTITY bears $ENTITY in other towns. Go get 'em, tiger!
FU Q12 Con $ENTITY I need you to collect a total of ... signatures from $ENTITY penguins $ENTITY in other towns. Go get 'em, tiger!
