OT Q12 Con $ENTITY You didn't forget, did you? You're getting signatures for my petition, $ENTITY .
OT Q12 Con Well, $ENTITY you said you'd help me gather signatures for my petition, $ENTITY !
OT Q12 Con $ENTITY Did you forget? You're collecting signatures for my petition, $ENTITY !
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY , $ENTITY .
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . And they all have to come from $ENTITY girls $ENTITY .
OT Q12 Con $ENTITY You'll have to get $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . And they all have to be from $ENTITY girls like me $ENTITY . What do I mean, $ENTITY like me? $ENTITY You know, girls who don't settle for less than the very best!
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . But you should get only signatures from $ENTITY dogs $ENTITY !
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . But you should get only signatures from $ENTITY cats $ENTITY !
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . But you should get only signatures from $ENTITY squirrels $ENTITY !
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . But you should get only signatures from $ENTITY rabbits $ENTITY !
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . But you should get only signatures from $ENTITY ducks $ENTITY !
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . But you should get only signatures from $ENTITY mice $ENTITY !
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . But you should get only signatures from $ENTITY frogs $ENTITY !
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . But you should get only signatures from $ENTITY horses $ENTITY !
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . But you should get only signatures from $ENTITY bears $ENTITY !
OT Q12 Con $ENTITY You need $ENTITY signatures $ENTITY from $ENTITY other towns $ENTITY . But you should get only signatures from $ENTITY penguins $ENTITY !
